Water Company Name,Site Name,Permit No.,Activity Reference (if more than one discharge) on permit,Shellfishery                                          (Only populate for storm overflows that have Shellfish water EDM requirements),Bathing Beach                                           (Only populate for storm overflows that have bathing water EDM requirements),Total Duration (hours) of all spills prior to processing through 12-24 hour counting method,Counted spills using 12-24hr counting method,% of reporting period EDM operational,Comments,
Thames Water,JEWS ROW TQ26752038 CSO,CSAB.0546,,,,1.65,2,100%,,
Thames Water,KEMPSFORD STW,CATM.3520,,,,0,0,100%,,
Thames Water,KENDAL ROAD TQ22855502 CSO,TEMP.2708,,,,0.48,1,87%,"Data after 15/11/2020 missing due to suspect data. 
",
Thames Water,KEW TRANSFER WORKS STW LEVEL 2,CASM.0249,,,,104.52,20,100%,,
Thames Water,KIMPTON ROAD TL10207702 CSO,CANM.0473/1/1,,,,0,0,100%,,
Thames Water,KING EDWARD MEMORIAL PARK TQ35811303 CSO,CSAB.0549,,,,23.82,16,95%,,
Thames Water,KINGHAM THE MILL SPS,CTCR.1981,,,,75.07,17,100%,,
Thames Water,Kings Avenue,EPR/AB3890EX,,,,,,0%,Data missing due to incorrect site set-up resulting in historical data not saving ,
Thames Water,KINGS SCHOLARS POND TQ29787103 CSO,CSAB.0561,,,,234.71,105,99%,"Data calculated to account for tidal influence
",
Thames Water,KINGS SUTTON STW,TEMP.2702,,,,86.48,12,99%,,
Thames Water,KINGSCLERE STW,TEMP.2703,,,,1669.61,105,100%,,
Thames Water,KINGSTON BAGPUIZE,NPSWQD002614,,,,157.86,29,100%,,
Thames Water,KINGSTON MAIN SPS,TEMP.1273,,,,6.25,3,100%,,
Thames Water,KINTBURY STW,TEMP.2706,,,,1619.83,83,100%,,
Thames Water,KNOWLE LANE TQ05387802 CSO,TEMP.2711,,,,79,16,100%,,
Thames Water,LEADEN RODING STW INLET PS,CSSC.1400,,,,482.4,61,100%,,
Thames Water,LEATHERHEAD STW,CTCR.1780,,,,1108.46,76,94%,,
Thames Water,LECHLADE STW,CTCR.1797,,,,845.12,51,100%,,
Thames Water,LEESIDE CRESCENT TQ24882402 CSO,TEMP.2736,,,,19.89,13,96%,,
Thames Water,LEESIDE CRESCENT TQ2488341D CSO,CANM.0917,,,,12.62,10,97%,,
Thames Water,LEOPOLD ROAD TQ21844103 CSO,TEMP.2737,,,,85.11,31,99%,,
Thames Water,LIGHTWATER STW LEVEL 1,CNTD.0033,,,,57.05,12,100%,,
Thames Water,LINDSAY DRIVE TQ18883302 CSO,TEMP.2739,,,,87.34,37,100%,,
Thames Water,LITTLE COMPTON STW,TEMP.2721,,,,779.17,69,99%,,
Thames Water,LITTLE HALLINGBURY STW,CSSC.0263,,,,875.56,59,100%,,
Thames Water,LITTLE MARLOW STW,CNTD.0058,,,,150.94,15,84%,"Data between 06/08/2020-05/10-2020 missing due to suspect data 
",
Thames Water,LITTLE MILTON STW,TEMP.2725,,,,8.62,4,98%,,
Thames Water,LITTLEMEAD INDUSTRIAL ESTATE TQ04388901 CSO,CTCR.1941,,,,266.41,33,88%,"Multiple periods of missing data due to comms issues 
",
Thames Water,LITTLEMORE SPS,TEMP.1358,,,,14,3,100%,,
Thames Water,LONDON BRIDGE MAINLINE 1 TQ32808602B,CSAB.0579,,,,6.28,6,84%,"Multiple periods missing due to comms issues. Data calculated to account for tidal influence
",
Thames Water,LONDON ROAD (MARLBORO) SPS,TEMP.1368,,,,1.4,2,100%,,
Thames Water,LONG CRENDON STW,TEMP.2727,,,,9.83,5,76%,Multiple periods of missing data due to comms issues,
Thames Water,LONGBRIDGE ROAD B TQ4685671B CSO,CANM.0919,,,,342.26,54,100%,,
Thames Water,LONGLEY ROAD TQ27701901 CSO,TEMP.2747,,,,1.91,2,100%,,
Thames Water,LONGREACH STW,CNTD.0067,,,,781.73,73,100%,,
Thames Water,LONGSTONE AVENUE TQ21839801A CSO,TEMP.2749,,,,0,0,100%,,
Thames Water,LOTS ROAD SPS,CSAB.0573,,,,4.06,2,100%,,
Thames Water,LOW HALL (WALTHAMSTOW) STORM TANK SPS,CSBC.0084,,,,71.31,11,100%,,
Thames Water,LOWER MALL TQ23780113 CSO,CSAB.0535,,,,0.33,1,100%,,
Thames Water,LOWER MALL TQ25018900 CSO,CSAB.0571,,,,0.39,2,100%,,
Thames Water,LOWER THAMES STREET TQ33803504 CSO,CSAB.0559,,,,14.84,20,100%,,
Thames Water,LUDGERSHALL STW,CSSC.1406,,,,0,0,100%,,
Thames Water,LYON PARK AVENUE TQ18843602 CSO,TEMP.2754,,,,0,0,100%,,
Thames Water,LYTTON ROAD TQ26965207 CSO,TEMP.2755,,,,19.33,9,100%,,
Thames Water,MAIDENHEAD STW,TEMP.2757,,,,0.71,1,35%,Data missing between 01/05/2020 - 10/09/2020 due to interferance with sensor,
Thames Water,MAPLE LODGE STK9,CNTD.0071,,,,1109.95,83,100%,,
Thames Water,MARKENFIELD ROAD SU99506208 CSO,TEMP.2792,,,,0.11,1,100%,,
Thames Water,MARKYATE STW,CSSC.8549,,,,16.73,5,95%,,
Thames Water,MARLBOROUGH STW,TEMP.2763,,,,2872.22,151,97%,,
Thames Water,MARSH GIBBON STW,TEMP.2765,,,,2186.68,114,95%,,
Thames Water,MARSH LANE BRIDGE SPS,TEMP.1471,,,,4.31,5,100%,,
Thames Water,MARSWORTH SPS,TEMP.2766,,,,43.03,5,100%,,
Thames Water,MERSTHAM STW LEVEL 1,CTCR.1782,,,,681.86,44,100%,,
Thames Water,MIDDLE BARTON STW,CTCR.1850,,,,133.91,12,91%,,
Thames Water,MIDDLETON CHENEY STW,CAWM.0308,,,,256.85,28,81%,Multiple periods of missing data due to comms issues. Data calculated to account for tidal influence,
Thames Water,MIDDLETON STONEY STW,TEMP.2773,,,,202.84,22,100%,,
Thames Water,MIDGHAM STW,TEMP.2774,,,,205.52,44,99%,,
Thames Water,MILL GREEN STW,TEMP.2653,,,,11.6,7,100%,,
Thames Water,MILTON UNDER WYCHWOOD STW,TEMP.2776,,,,2060.72,141,100%,,
Thames Water,MOGDEN STW,CNTD.0085,,,,412.75,42,100%,,
Thames Water,MORETON PINKNEY STW,CNTD.0010,,,,54.98,17,100%,,
Thames Water,MORETON-IN-MARSH SPS.Consented Overflow Level_2,CTCR.2093 ,,,,910.57,62,100%,,
Thames Water,MORTIMER (STRATFIELD) STW,TEMP.2783,,,,3222.12,144,100%,,
Thames Water,MR_WESTWAY CLOSE SPS,TEMP.2223,,,,6.32,3,100%,,
Thames Water,MUCH HADHAM SPS,TEMP.1074,,,,201.04,31,100%,,
Thames Water,MULBERRY COURT TQ38859703 CSO,TEMP.2801,,,,118.64,58,100%,,
Thames Water,MV_BOXHILL SPS,TEMP.0505,,,,33.93,18,100%,,
Thames Water,MV_BROCKHAM BRIDGE SPS,TEMP.0545,,,,43.95,6,100%,,
Thames Water,MV_CAPEL SPS,CTCR.1765,,,,265.11,35,100%,,
Thames Water,MV_COMMONSIDE SPS,TEMP.0730,,,,6.52,2,100%,,
Thames Water,MV_DEANOAK LANE SPS,TEMP.0822,,,,5.43,4,100%,,
Thames Water,NAGS HEAD LANE STW,CSSC.0328,,,,1022.11,78,100%,,
Thames Water,NARROW STREET TQ35809804 CSO,TEMP.2864,,,,17.62,38,99%,"Data calculated to account for tidal influence
",
Thames Water,NB_EAST GARSTON SPS,TEMP.0882,,,,213.58,64,100%,,
Thames Water,NEW BEDFORD ROAD TL08218791 CSO,CANM.0550,,,,0,0,78%,Multiple periods of missing data due to comms issues. Data calculated to account for tidal influence,
Thames Water,NEW MILL STW,CNTD.0078,,,,225.74,29,100%,,
Thames Water,NEWBURY STW,TEMP.2805,,,,929.08,61,100%,,
Thames Water,NEWMAN LANE SPS,TEMP.1580,,,,697.21,44,100%,,
Thames Water,NIGHTINGALE LANE TQ34801209 CSO,TEMP.2819,,,,22.13,37,74%,Multiple periods of missing data due to comms issues. Data calculated to account for tidal influence,
Thames Water,NORFOLK STREET_LONDON,CSAB.0540,,,,10.19,3,100%,,
Thames Water,NORTH HINKSEY LANE SP4905551A CSO,TEMP.2973,,,,96.81,10,95%,,
Thames Water,NORTH WEALD STW,TEMP.2809,,,,862.45,61,98%,,
Thames Water,NORTHLEACH STW,CNTD.0012,,,,983.83,70,100%,,
Thames Water,NORTHUMBERLAND AVENUE TQ30804213 CSO,CSAB.0531,,,,24.9,20,100%,,
Thames Water,NUNEHAM COURTENAY STW,TEMP.2811,,,,0,0,100%,,
Thames Water,NUTTER LANE TQ4188171B CSO,CEVR.0138,,,,17.58,12,99%,,
Thames Water,Oakhill Park TQ26946806 CSO,CTCR.1998,,,,2.24,4,100%,,
Thames Water,OCKHAM ROAD TQ09534802 CSO,CTCR.2050,,,,0,0,100%,,
Thames Water,OXFORD STW,TEMP.2827,,,,1822.48,126,100%,,
Thames Water,PANGBOURNE STW,CTCR.2078,,,,377.84,101,73%,Data missing between 20/06/20-24/09/2020 missing due to faulty sensor. Multiple short periods of missing data due to comms issues,
Thames Water,PARK STREET TL09208515 CSO,CANM.0549,,,,0,0,100%,,
Thames Water,PASSFIELD SPS,CASM.0309,,,,3.94,2,100%,,
Thames Water,PENWITH ROAD TQ25738002 CSO,TEMP.2841,,,,0.91,1,70%,Data missing 01/01/2020 -20/04/2020 due to suspect data,
Thames Water,PETERSHAM ROAD TQ17748301 CSO,CSAB.0525,,,,8.25,3,99%,"Data calculated to account for tidal influence
",
Thames Water,PINKHAM WAY TQ28916620 CSO,CSAC.1088,,,,2.47,2,88%, Multiple periods of missing data due to comms issues.,
Thames Water,PITT CRESCENT TQ25714601 CSO,TEMP.2630,,,,0,0,100%,,
Thames Water,PORTSMOUTH ROAD TQ1768601A CSO,TEMP.2843,,,,58.48,15,100%,,
Thames Water,Princes Avenue,EPR/AB3799WV,,,,,,0%,Data missing due to incorrect site set-up resulting in historical data not saving ,
Thames Water,PRINCES RISBOROUGH STW,CTCR.1642,,,,1706.84,106,100%,,
Thames Water,PRIORY LANE STORM_MORTLAKE,TEMP.2837,,,,9.9,6,100%,,
Thames Water,PROSPECT ROAD TQ4192531C CSO,CANM.0911,,,,217.6,70,100%,,
Thames Water,PURTON STW,TEMP.2839,,,,367.01,33,100%,,
Thames Water,PUTNEY BRIDGE STREET TQ24751505 CSO,CSAB.0544,,,,536.59,158,99%,"Data calculated to account for tidal influence
",
Thames Water,QUEEN STREET 2,CSAB.0576 ,,,,0.99,2,100%,,
Thames Water,QUEENS ROAD SU17937401 CSO,TEMP.2675,,,,40.66,16,100%,,
Thames Water,RAMSBURY STW,CSSC.2353,,,,10.57,5,100%,,
Thames Water,RATLEY STW,TEMP.2851,,,,2.07,2,100%,,
Thames Water,RB_CASTLE DRIVE SPS,TEMP.0615,,,,13.42,2,100%,,
Thames Water,RB_DORKING ROAD SPS,TEMP.0844,,,,85.63,8,100%,,
Thames Water,RB_SALFORDS SPS,CNTW.0279,,,,25.3,5,100%,,
Thames Water,READING STW STK 4,CAWM.0942,,,,267.41,16,100%,,
Thames Water,REGENT ST TQ30803207 CSO,CSAB.0570,,,,14.81,5,100%,,
Thames Water,RIPLEY,CTCR.1839,,,,33.04,4,100%,,
Thames Water,RIVER LANE SPS,CTCR.1644,,,,5.29,6,70%,Data missing between 15/02/2020 - 20/04/2020 & 20/04/2020 - 03/06/2020 due to communication issues,
Thames Water,RIVERSIDE STW LEVEL ST 9,CSSA.0364,,,,2142.82,113,100%,,
Thames Water,RODING VALLEY,TEMP.1814,,,,2283.5,120,100%,,
Thames Water,ROEHAMPTON VALE TQ21725306 CSO,TEMP.2871,,,,2527.76,141,100%,,
Thames Water,ROSE GARDEN TQ34883701 CSO,CANM.0907,,,,0,0,100%,,
Thames Water,ROWSHAM STW,CSSC.1419,,,,97.02,20,100%,,
Thames Water,RUSPER STW,EPR/QB3796NW,,,,1443.41,93,100%,,
Thames Water,RY_TRUMPS GREEN ROAD SPS,TEMP.2126,,,,0,0,100%,,
Thames Water,RYE MEADS STW LEVEL 2,CLCR.0048,,,,275.62,32,100%,,
Thames Water,SANDHURST STW LEVEL 2,TEMP.2881,,,,489.47,36,100%,,
Thames Water,SAVOY STREET,CSAB.0532,,,,18.35,12,58%,Data missing prior to 21/07/2020 due to installation issues. Data calculated to account for tidal influence,
Thames Water,SELBOURNE SPS,TEMP.1200,,,,437.14,39,100%,,
Thames Water,SELBOURNE STW,CTCR.0742,,,,1998.74,90,47%,Data missing due to Intermittent communication issues,
Thames Water,SEVENHAMPTON STW,CSSC.1425,,,,1771.54,91,100%,,
Thames Water,SHABBINGTON,TEMP.2884,,,,279.93,28,100%,,
Thames Water,SHAD THAMES STRATEGIC SPS,CSAB.0555,,,,49.87,61,100%,,
Thames Water,SHAMLEY GREEN STW,TEMP.2886,,,,475.82,35,100%,,
Thames Water,SHERFIELD ON LODDON STW,TEMP.2891,,,,393.36,34,100%,,
Thames Water,SHOTTESWELL STW,TEMP.2892,,,,224.53,31,100%,,
Thames Water,SHRIVENHAM STW,TEMP.2893,,,,762.72,51,100%,,
Thames Water,SHUTFORD STW,CSSC.1434,,,,1529.57,114,99%,,
Thames Water,SILCHESTER,CTCR.0959,,,,828.18,43,100%,,
Thames Water,Sloane Street,CSAB.0577,Multiple Overflow site,,,419.2,120,98%,"Multiple overflow site. 
",
Thames Water,SLOUGH STW,CTCP.0436,,,,23.34,4,70%,Data between 01/04/2020- 22/06/2021 missing due to faulty sensor,
Thames Water,SMITH STREET 2,CSSA.0403 ,,,,22.61,57,100%,,
Thames Water,Smith Street Main Line 2,CSAB.0578,,,,11.19,11,100%,,
Thames Water,SNAKES LANE TQ41914707 CSO,TEMP.2933,,,,337.16,84,99%,,
Thames Water,SONNING COMMON STW,TEMP.2897,,,,8.32,3,100%,,
Thames Water,SOUTH LEIGH STW,TEMP.2899,,,,3342.86,154,100%,,
Thames Water,SOUTH MORETON STW,TEMP.2900,,,,248.33,22,72%,Data missing between 01/04/2020-07/06/2020 due to interferance. Multiple short periods of missing data due to comms issues. ,
Thames Water,SOUTH NORWOOD TQ35681301 CSO,CGLR.0019,,,,16.59,6,67%,Data missing between 03/08/2020 - 19/11/2020 & 02/12/2020 - 21/12/2020 due to communication issues,
Thames Water,SOUTH PARK TQ45862303 CSO,CANM.0918,,,,284.07,69,92%,,
Thames Water,SPOOKS HILL TQ16478405 CSO,CTCR.1922,,,,30.03,10,100%,,
Thames Water,ST ALBANS SHAFT SPS STALP2ZZ,TEMP.2838,,,,0,0,100%,,
Thames Water,ST ANDREWS ROAD TQ35908004 CSO,TEMP.2937,,,,5.8,8,97%,,
Thames Water,ST JAMESES ROAD CSO TQ18680906A CSO,TEMP.2938,,,,5.75,3,92%,,
Thames Water,STAMFORD BROOK TQ22787506 CSO,CSAB.0534,,,,4.2,6,94%,"Data calculated to account for tidal influence
",
Thames Water,STANDLAKE STW,TEMP.2906,,,,443.93,24,100%,,
Thames Water,STANDON STW,TEMP.2907,,,,0,0,100%,,
Thames Water,STANFORD HIGH STREET STW,CTCR.1932,,,,1.6,3,100%,,
Thames Water,STANSTED MOUNTFITCHET STW,TEMP.2910,,,,305.29,39,98%,,
Thames Water,STANTON HARCOURT STW,TEMP.2912,,,,2484.04,132,99%,,
Thames Water,STANTON ST JOHN STW,TEMP.2913,,,,0,0,100%,,
Thames Water,STEWKLEY,CSSC.2368,,,,756.82,82,100%,,
Thames Water,STONE,CSSC.2319,,,,2452.6,123,100%,,
Thames Water,STONEBRIDGE STORM SEWER TQ19492501 CSO,CSAC.0953,,,,316.31,37,100%,,
Thames Water,Streatham & Balham ,TEMP.2920,Multiple Overflow site,,,87.38,51,84%,Data missing between 17/11/2020 - 31/12/2020 due to comms issues. Multiple overflow site. ,
Thames Water,Streatham Storm Relief,TEMP.2921,Multiple Overflow site,,,170.16,100,69%,Data missing prior to 24/06/2020 due to installation issues. Multiple overflow site. ,
Thames Water,STREATHAM VALE STORM RELIEF,TEMP.2922,,,,8.04,7,100%,,
Thames Water,SUDBURY HEIGHTS AVE TQ16846904 CSO,TEMP.2944,,,,4.18,8,100%,,
Thames Water,SUNNYDALE TQ43655701 CSO,CSSA.0354,,,,166.41,39,100%,,
Thames Water,SUNNYSIDE ROAD,TEMP.2946,,,,0.15,1,74%,"Data between 01/04/2020-27/04/2020 due to historical installation issue. Multiple periods of missing data due to commms isssues:27/05, 07/06-22/07.",
Thames Water,SW Storm Relief Sewer ,CSAB.0556,,,,547.53,106,100%,,
Thames Water,SWINDON STW,CNTD.0017,,,,579.2,50,88%,"Multiple short periods of missing data due to comms issue.
",
Thames Water,SX_MANOR FARM ROAD SPS,TEMP.1450,,,,0,0,100%,,
Thames Water,TACKLEY TSPS,CAWM.0638,,,,0.96,1,100%,,
Thames Water,TAKELEY STW,TEMP.2948,,,,1061.68,74,99%,,
Thames Water,TAYLORS CRESCENT TQ06397203 CSO,TEMP.2966,,,,64.7,10,100%,,
Thames Water,TEMPLE PLACE_ESSEX STREET,TEMP.2583,,,,13.93,4,100%,,
Thames Water,TETSWORTH STW,TEMP.2949,,,,339.28,38,98%,,
Thames Water,THAME STW,CTCR.1158,,,,516.24,35,100%,,
Thames Water,THAMES STREET TQ32800901 CSO,TEMP.2968,,,,109.71,66,100%,,
Thames Water,THE BROADWAY TQ40919809 CSO,CANM.0716,,,,0,0,100%,,
Thames Water,THE DRIVE TQ40891702,CANM.0910,,,,0.15,1,84%,"Data between 17/01/2020 -11/02/2020 and 12/02/2020-16/03/2020 missing due to comms issues  
",
Thames Water,THE MILLBANK TQ24365401 CSO,TEMP.2797,,,,6.3,1,71%,Data missing prior to 15/04/2020 due to comss issues,
Thames Water,THERFIELD STW,CATM.3095,,,,273.68,33,100%,,
Thames Water,THEYDON BOIS STW,TEMP.2954,,,,1222.01,109,100%,,
Thames Water,THORNWOOD STW,EPR/FB3198EZ,,,,752.34,73,100%,,
Thames Water,Tideway CSO,EPR/BP3220XF,,,,49.35,4,83%,Spill data for January and July missing due to data archiving issue. Total spill volume avaliable upon request. ,
Thames Water,TN_DRAYCOT FOLIAT SPS,TEMP.0856,,,,0,0,100%,,
Thames Water,TN_KILDA ROAD SPS,TEMP.1250,,,,0,0,100%,,
Thames Water,TRING STW,TEMP.2961,,,,7.57,1,100%,,
Thames Water,UFFINGTON STW,TEMP.2979,,,,671.97,68,100%,,
Thames Water,UPPER RICHMOND ROAD TQ21754508 CSO,TEMP.2982,,,,222.63,24,88%,"Multiple short periods of missing data due to comms issues. Data between 25/03/2020-16/04/2020 missing due to faulty sensor.
",
Thames Water,VAUXHALL MOTORS TL09209702 CSO,TEMP.2984,,,,0.89,2,100%,,
Thames Water,WA_CANFOLD WOOD SPS,TEMP.0597,,,,172.01,26,100%,,
Thames Water,WA_OCKLEY ROAD SPS,TEMP.1627,,,,16.18,3,100%,,
Thames Water,WADDESDON STW,CNTD.0052,,,,1704.92,112,100%,,
Thames Water,WANBOROUGH STW,CSCC.2327,,,,1201.05,84,90%,,
Thames Water,WANTAGE STW,TEMP.2989,,,,386.95,37,100%,,
Thames Water,Wapping Dock 2 TQ34809108 CSO,CSAB.0548 ,,,,1.36,1,100%,,
Thames Water,WARDINGTON TSPS,CTCR.1833,,,,342.34,55,100%,,
Thames Water,WARGRAVE STW,CTCR.2079,,,,117.94,10,100%,,
Thames Water,WARMINGTON STW,TEMP.2991,,,,54.47,17,100%,,
Thames Water,WASHWATER STW,TEMP.2994,,,,1302.59,90,100%,,
Thames Water,WATLINGTON,TEMP.2997,,,,15.64,3,100%,,
Thames Water,WAVERLEY LANE SPS,CNTM.1423,,,,139.05,18,100%,,
Thames Water,WENTWORTH ROAD TQ2488611C CSO,CANM.1219,,,,6.01,3,100%,,
Thames Water,WEST WAY_BOTLEY (SYPHON),TEMP.3035,,,,0,0,100%,Data calculated using Botley Road EDM data no spills occurred outside of storm events,
Thames Water,WESTERN SPS ,CSAB.0538,,,,7.08,2,100%,,
Thames Water,WESTERN WAY TQ25954001 CSO,TEMP.3036,,,,36.84,16,100%,"Data calculated to account for tidal influence
",
Thames Water,WESTON ON THE GREEN STW,TEMP.3002,,,,357.11,28,100%,,
Thames Water,WESTON STW,TEMP.3001,,,,865.19,77,100%,,
Thames Water,WEYBRIDGE STW,CTCR.0944,,,,524.43,51,99%,,
Thames Water,WH_WEST END SPS,TEMP.2200,,,,33.36,7,91%,,
Thames Water,WHEATLEY STW,CSSC.2332,,,,2678.75,145,100%,,
Thames Water,WHITE RODING STW,TEMP.3006,,,,710.71,80,100%,,
Thames Water,WHITE WALTHAM STW,TEMP.3007,,,,5.1,4,100%,,
Thames Water,WHITWELL STW,TEMP.3008,,,,130.54,14,100%,,
Thames Water,WIDFORD STW,CLCR.0090,,,,129.84,24,100%,,
Thames Water,WILLINGALE STW,CSSC.1456,,,,1843.01,110,100%,,
Thames Water,WINCHESTER AVENUE TQ1989151,CANM.0664,,,,181.67,63,100%,,
Thames Water,WINDSOR STW,TEMP.3014,,,,1741.04,114,100%,,
Thames Water,WINGRAVE STW,CSSC.2320,,,,1649.74,109,100%,,
Thames Water,WINTERBOURNE STW,TEMP.3016,,,,1199.49,108,100%,,
Thames Water,WISLEY STW,TEMP.3017,,,,1.04,3,63%,Data missing between 01/01/2020 - 14/05/2020 due to suspect data,
Thames Water,WITNEY STW,CATM.3134,,,,1563.23,97,99%,,
Thames Water,WOKING STW,CASM.0308,,,,234.22,23,100%,,
Thames Water,WOOD STREET_LONDON,CSAB.0564,,,,10.71,5,100%,,
Thames Water,WOODFORD HALSE TSPS,CTCR.1853,,,,113.68,12,100%,,
Thames Water,WOODSTOCK STW,CSSC.2321,,,,0,0,100%,,
Thames Water,WORCESTER CRESCENT,AB3890DU,,,,83.61,32,61%,Data missing prior to 22/05/2020 due to installation issue,
Thames Water,WORMINGHALL STW,CTCR.1975,,,,814.56,59,100%,,
Thames Water,WORPLE ROAD TQ23698803 CSO,TEMP.3044,,,,2.75,3,100%,,
